time,pressure
5.305983147408582568e+00,9.108887236765447597e+04
5.341158281161289878e+00,9.098465636732554412e+04
5.376333414913997188e+00,9.088063922145131801e+04
5.411508548666704499e+00,9.077682064379034273e+04
5.446683682419411809e+00,9.067320033592345135e+04
5.481858816172119120e+00,9.056977798606287979e+04
5.517033949924826430e+00,9.046655327159202716e+04
5.552209083677533741e+00,9.036352586387380143e+04
5.587384217430241051e+00,9.026069543400002294e+04
5.622559351182948362e+00,9.015806165820000751e+04
5.657734484935655672e+00,9.005562422377341136e+04
5.698846855192882366e+00,8.993813977915693249e+04
5.732595581866729795e+00,8.984331814667998697e+04
5.766344308540577224e+00,8.974867071985804068e+04
5.800093035214424653e+00,8.965419721683103126e+04
5.833841761888272082e+00,8.955989737744264130e+04
5.867590488562119511e+00,8.946577097190369386e+04
5.901339215235966940e+00,8.937181779425941932e+04
5.935087941909814369e+00,8.927803764816452167e+04
5.968836668583661798e+00,8.918443033402871515e+04
6.002585395257509226e+00,8.909099564104399178e+04
6.036334121931356655e+00,8.899773334333844832e+04
6.070082848605204084e+00,8.890464319905109005e+04
6.117954859488964559e+00,8.877289116032391030e+04
6.165826870372725033e+00,8.864148423680794076e+04
6.213698881256485507e+00,8.851042166232285672e+04
6.261570892140245981e+00,8.837970269710877619e+04
6.309442903024006455e+00,8.824932665124848427e+04
6.357314913907766929e+00,8.811929288841591915e+04
6.405186924791527403e+00,8.798960080968437251e+04
6.453058935675287877e+00,8.786024982570964494e+04
6.500930946559048351e+00,8.773123932958600926e+04
6.548802957442808825e+00,8.760256868096176186e+04
6.596674968326569299e+00,8.747423720623301051e+04
6.651754489460157238e+00,8.732700312923417368e+04
6.696405492434079676e+00,8.720797384406146011e+04
6.741056495408002114e+00,8.708923779299085436e+04
6.785707498381924552e+00,8.697079446015048597e+04
6.830358501355846990e+00,8.685264335308982118e+04
6.875009504329769427e+00,8.673478399476000050e+04
6.919660507303691865e+00,8.661721591219863330e+04
6.964311510277614303e+00,8.649993862634683319e+04
7.008962513251536741e+00,8.638295164608184132e+04
7.063418435023699260e+00,8.624066767655928561e+04
7.117874356795861779e+00,8.609881382988752739e+04
7.172330278568024298e+00,8.595738917644454341e+04
7.226786200340186817e+00,8.581639280261511158e+04
7.281242122112349335e+00,8.567582382259686710e+04
7.335698043884511854e+00,8.553568137975357240e+04
7.390153965656674373e+00,8.539596463765147200e+04
7.444609887428836892e+00,8.525667276560836763e+04
7.507388720555784545e+00,8.509661800102390407e+04
7.570167553682732198e+00,8.494027051686408231e+04
7.577315223854654391e+00,8.492305366672940727e+04
7.584462894026576585e+00,8.490584372690544114e+04
7.591610564198498778e+00,8.488864069681045657e+04
7.605905904542344054e+00,8.485425536309411109e+04
7.620201244886189329e+00,8.481989765927188273e+04
7.634496585230034604e+00,8.478556757774644939e+04
7.648791925573879880e+00,8.475126511001016479e+04
7.678780871642169714e+00,8.467939463892257481e+04
7.708769817710459549e+00,8.460764553826498741e+04
7.738758763778749383e+00,8.453601767168128572e+04
7.768747709847039218e+00,8.446451087751990417e+04
7.798736655915329052e+00,8.439312497538836033e+04
7.841206021709242080e+00,8.429223704797943356e+04
7.883675387503155108e+00,8.419159063764926395e+04
7.926144753297068135e+00,8.409118522469628078e+04
7.968614119090981163e+00,8.399102035169652663e+04
8.011083484884894190e+00,8.389109563343570335e+04
8.053552850678807218e+00,8.379141075281761005e+04
8.096022216472720245e+00,8.369196544350673503e+04
8.138491582266633273e+00,8.359275946258702606e+04
8.180960948060546301e+00,8.349379256092237483e+04
8.251579068156580377e+00,8.332975878461610409e+04
8.261262543967887950e+00,8.330731712371000322e+04
8.270946019779195524e+00,8.328488784403455793e+04
8.280629495590503097e+00,8.326247094121432747e+04
8.290312971401810671e+00,8.324006641053743078e+04
8.299996447213118245e+00,8.321767424713641230e+04
8.309679923024425818e+00,8.319529444613911619e+04
8.329046874647040966e+00,8.315057191141309158e+04
8.348413826269656113e+00,8.310589876665869087e+04
8.367780777892271260e+00,8.306127497175725875e+04
8.387147729514886407e+00,8.301670048613545077e+04
8.406514681137501555e+00,8.297217526921599347e+04
8.425881632760116702e+00,8.292769928099762183e+04
8.469371377708892368e+00,8.282800475885742344e+04
8.512861122657668034e+00,8.272855785843744525e+04
8.556350867606443700e+00,8.262935819580352108e+04
8.599840612555219366e+00,8.253040542259260837e+04
8.643330357503995032e+00,8.243169921745508327e+04
8.686820102452770698e+00,8.233323927367464057e+04
8.742507737176582694e+00,8.220752260839326482e+04
8.798195371900394690e+00,8.208220855303683493e+04
8.853883006624206686e+00,8.195729639568830316e+04
8.909570641348018682e+00,8.183278536819027795e+04
8.965258276071830679e+00,8.170867466447348124e+04
9.020945910795642675e+00,8.158496346975416236e+04
9.076633545519454671e+00,8.146165098933913396e+04
