time,vx,vy,vz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.474967104832994095e-03,2.138461487037711224e-18,3.474967104832994095e-03,3.221408139289249489e-02,3.474967104832994095e-03,3.064965109299695456e-01
6.949934209665988190e-03,4.267232561918121001e-18,6.949934209665988190e-03,6.428218506869343152e-02,6.949934209665988190e-03,6.116041366573345961e-01
1.389986841933197638e-02,8.505376800681849130e-18,1.389986841933197638e-02,1.281261795899497069e-01,1.389986841933197638e-02,1.219039168745956525e+00
2.084980262899796544e-02,1.270470072512608235e-17,2.084980262899796544e-02,1.913853794947182885e-01,2.084980262899796544e-02,1.820910251722447359e+00
2.779973683866395276e-02,1.686515555518651296e-17,2.779973683866395276e-02,2.540590499533230684e-01,2.779973683866395276e-02,2.417210394149456487e+00
6.885873766719700917e-02,4.058387285733469739e-17,6.885873766719700917e-02,6.113611076886906748e-01,6.885873766719700917e-02,5.816712391687427264e+00
1.099177384957300690e-01,6.270009996084790386e-17,1.099177384957300690e-01,9.445230300963705083e-01,1.099177384957300690e-01,8.986536343743518174e+00
1.409498014945446964e-01,7.830350652738424635e-17,1.409498014945446964e-01,1.179574917721004201e+00,1.409498014945446964e-01,1.122290566825725477e+01
1.719818644933593377e-01,9.304033396746483535e-17,1.719818644933593377e-01,1.401572536806203972e+00,1.719818644933593377e-01,1.333507192420352361e+01
2.030139274921739789e-01,1.070100176912536656e-16,2.030139274921739789e-01,1.612013796206431371e+00,2.030139274921739789e-01,1.533728676234287924e+01
2.340459904909886202e-01,1.203229112665328918e-16,2.340459904909886202e-01,1.812561077421694034e+00,2.340459904909886202e-01,1.724536668612835655e+01
2.650780534898032337e-01,1.331334012326909963e-16,2.650780534898032337e-01,2.005540080763160926e+00,2.650780534898032337e-01,1.908143925593171275e+01
2.961101164886178472e-01,1.455275417182351144e-16,2.961101164886178472e-01,2.192247137596502693e+00,2.961101164886178472e-01,2.085783824081937610e+01
3.271421794874324607e-01,1.576164584685993690e-16,3.271421794874324607e-01,2.374356261613319141e+00,3.271421794874324607e-01,2.259049081715458485e+01
3.663713285588237056e-01,1.726092576164884955e-16,3.663713285588237056e-01,2.600209874121643505e+00,3.663713285588237056e-01,2.473934439986154388e+01
4.056004776302149506e-01,1.873712259693666297e-16,4.056004776302149506e-01,2.822586219415410103e+00,4.056004776302149506e-01,2.685511399498448171e+01
4.448296267016061956e-01,2.019970457359696238e-16,4.448296267016061956e-01,3.042911603461391667e+00,4.448296267016061956e-01,2.895136999731451155e+01
4.840587757729974405e-01,2.165527400132778240e-16,4.840587757729974405e-01,3.262180607379158825e+00,4.840587757729974405e-01,3.103757521410251030e+01
5.202431661066398982e-01,2.299494230691938345e-16,5.202431661066398982e-01,3.463990104989461472e+00,5.202431661066398982e-01,3.295766432469049789e+01
5.236781738800807551e-01,1.263078355674752398e-03,5.236781738800807551e-01,3.486798004144992191e+00,5.236781738800807551e-01,3.313940059589560150e+01
5.271131816535216119e-01,2.531398612374401429e-03,5.271131816535216119e-01,3.509603845238639774e+00,5.271131816535216119e-01,3.332112306353308639e+01
5.339831972004033256e-01,5.077031235302616879e-03,5.339831972004033256e-01,3.555211209311796239e+00,5.339831972004033256e-01,3.368454073392343417e+01
5.408532127472850393e-01,7.637665727833470655e-03,5.408532127472850393e-01,3.600809517357499878e+00,5.408532127472850393e-01,3.404790412415455592e+01
5.477232282941667529e-01,1.020730345925050485e-02,5.477232282941667529e-01,3.646397869630163768e+00,5.477232282941667529e-01,3.441121313699206041e+01
6.066565112166760754e-01,3.173720532958389240e-02,6.066565112166760754e-01,4.037165695334908655e+00,6.066565112166760754e-01,3.752772751763250625e+01
6.655897941391853978e-01,4.942092581627798020e-02,6.655897941391853978e-01,4.427316961832522324e+00,6.655897941391853978e-01,4.064710494327648860e+01
7.245230770616947202e-01,5.895545850653047260e-02,7.245230770616947202e-01,4.816589536102388713e+00,7.245230770616947202e-01,4.377156652841159001e+01
7.834563599842040427e-01,5.577364731994800123e-02,7.834563599842040427e-01,5.204640697085629597e+00,7.834563599842040427e-01,4.690199324633592681e+01
8.558993359490824071e-01,2.749893038164103604e-02,8.558993359490824071e-01,5.679522012301991829e+00,8.558993359490824071e-01,5.075875569682511212e+01
9.283423119139607715e-01,-3.586534768685628594e-02,9.283423119139607715e-01,6.151690259970522767e+00,9.283423119139607715e-01,5.462511740776142233e+01
1.000785287878839025e+00,-1.425979178817422255e-01,1.000785287878839025e+00,6.621029339809160419e+00,1.000785287878839025e+00,5.850072611716621651e+01
1.073228263843717389e+00,-2.999595644036049946e-01,1.073228263843717389e+00,7.087775072162890488e+00,1.073228263843717389e+00,6.238487303870289935e+01
1.145671239808595754e+00,-5.134957658778666056e-01,1.145671239808595754e+00,7.552579175354118490e+00,1.145671239808595754e+00,6.627659524437451921e+01
1.164394429109016027e+00,-5.782777981537094991e-01,1.164394429109016027e+00,7.672519501295575139e+00,1.164394429109016027e+00,6.728353547439728288e+01
1.183117618409436300e+00,-6.470637202371912755e-01,1.183117618409436300e+00,7.792426149180875505e+00,1.183117618409436300e+00,6.829089586256409916e+01
1.201840807709856573e+00,-7.198617934212905300e-01,1.201840807709856573e+00,7.912325488254662531e+00,1.201840807709856573e+00,6.929865824774086036e+01
1.220563997010276847e+00,-7.966663894405320301e-01,1.220563997010276847e+00,8.032245587623362937e+00,1.220563997010276847e+00,7.030680427471048688e+01
