time,q0,q1,q2,q3
0.000000000000000000e+00,-9.226133877210194179e-01,0.000000000000000000e+00,4.835211878726210916e-02,0.000000000000000000e+00,2.002810337115890071e-02,0.000000000000000000e+00,3.821589780210331577e-01
3.474967104832994095e-03,-9.226133877210194179e-01,3.474967104832994095e-03,4.835211878726210916e-02,3.474967104832994095e-03,2.002810337115890071e-02,3.474967104832994095e-03,3.821589780210331577e-01
6.949934209665988190e-03,-9.226133877210194179e-01,6.949934209665988190e-03,4.835211878726210916e-02,6.949934209665988190e-03,2.002810337115890071e-02,6.949934209665988190e-03,3.821589780210331577e-01
1.389986841933197638e-02,-9.226133877210194179e-01,1.389986841933197638e-02,4.835211878726210916e-02,1.389986841933197638e-02,2.002810337115890071e-02,1.389986841933197638e-02,3.821589780210331577e-01
2.084980262899796544e-02,-9.226133877210194179e-01,2.084980262899796544e-02,4.835211878726210916e-02,2.084980262899796544e-02,2.002810337115890071e-02,2.084980262899796544e-02,3.821589780210331577e-01
2.779973683866395276e-02,-9.226133877210194179e-01,2.779973683866395276e-02,4.835211878726210916e-02,2.779973683866395276e-02,2.002810337115890071e-02,2.779973683866395276e-02,3.821589780210331577e-01
6.885873766719700917e-02,-9.226133877210194179e-01,6.885873766719700917e-02,4.835211878726210916e-02,6.885873766719700917e-02,2.002810337115890071e-02,6.885873766719700917e-02,3.821589780210331577e-01
1.099177384957300690e-01,-9.226133877210194179e-01,1.099177384957300690e-01,4.835211878726210916e-02,1.099177384957300690e-01,2.002810337115890071e-02,1.099177384957300690e-01,3.821589780210331577e-01
1.409498014945446964e-01,-9.226133877210194179e-01,1.409498014945446964e-01,4.835211878726210916e-02,1.409498014945446964e-01,2.002810337115890071e-02,1.409498014945446964e-01,3.821589780210331577e-01
1.719818644933593377e-01,-9.226133877210194179e-01,1.719818644933593377e-01,4.835211878726210916e-02,1.719818644933593377e-01,2.002810337115890071e-02,1.719818644933593377e-01,3.821589780210331577e-01
2.030139274921739789e-01,-9.226133877210194179e-01,2.030139274921739789e-01,4.835211878726210916e-02,2.030139274921739789e-01,2.002810337115890071e-02,2.030139274921739789e-01,3.821589780210331577e-01
2.340459904909886202e-01,-9.226133877210194179e-01,2.340459904909886202e-01,4.835211878726210916e-02,2.340459904909886202e-01,2.002810337115890071e-02,2.340459904909886202e-01,3.821589780210331577e-01
2.650780534898032337e-01,-9.226133877210194179e-01,2.650780534898032337e-01,4.835211878726210916e-02,2.650780534898032337e-01,2.002810337115890071e-02,2.650780534898032337e-01,3.821589780210331577e-01
2.961101164886178472e-01,-9.226133877210194179e-01,2.961101164886178472e-01,4.835211878726210916e-02,2.961101164886178472e-01,2.002810337115890071e-02,2.961101164886178472e-01,3.821589780210331577e-01
3.271421794874324607e-01,-9.226133877210194179e-01,3.271421794874324607e-01,4.835211878726210916e-02,3.271421794874324607e-01,2.002810337115890071e-02,3.271421794874324607e-01,3.821589780210331577e-01
3.663713285588237056e-01,-9.226133877210194179e-01,3.663713285588237056e-01,4.835211878726210916e-02,3.663713285588237056e-01,2.002810337115890071e-02,3.663713285588237056e-01,3.821589780210331577e-01
4.056004776302149506e-01,-9.226133877210194179e-01,4.056004776302149506e-01,4.835211878726210916e-02,4.056004776302149506e-01,2.002810337115890071e-02,4.056004776302149506e-01,3.821589780210331577e-01
4.448296267016061956e-01,-9.226133877210194179e-01,4.448296267016061956e-01,4.835211878726210916e-02,4.448296267016061956e-01,2.002810337115890071e-02,4.448296267016061956e-01,3.821589780210331577e-01
4.840587757729974405e-01,-9.226133877210194179e-01,4.840587757729974405e-01,4.835211878726210916e-02,4.840587757729974405e-01,2.002810337115890071e-02,4.840587757729974405e-01,3.821589780210331577e-01
5.202431661066398982e-01,-9.226133877210194179e-01,5.202431661066398982e-01,4.835211878726210916e-02,5.202431661066398982e-01,2.002810337115890071e-02,5.202431661066398982e-01,3.821589780210331577e-01
5.236781738800807551e-01,-9.226134297545165452e-01,5.236781738800807551e-01,4.835131669514020070e-02,5.236781738800807551e-01,2.002948930943976302e-02,5.236781738800807551e-01,3.821589053861068064e-01
5.271131816535216119e-01,-9.226135139093417648e-01,5.271131816535216119e-01,4.834971065247906791e-02,5.271131816535216119e-01,2.003226762205018857e-02,5.271131816535216119e-01,3.821587597749961929e-01
5.339831972004033256e-01,-9.226137666026709150e-01,5.339831972004033256e-01,4.834488705578732920e-02,5.339831972004033256e-01,2.004062178062177707e-02,5.339831972004033256e-01,3.821583219104592866e-01
5.408532127472850393e-01,-9.226141883179970193e-01,5.408532127472850393e-01,4.833683335098860195e-02,5.408532127472850393e-01,2.005459647351076624e-02,5.408532127472850393e-01,3.821575893784452949e-01
5.477232282941667529e-01,-9.226147794794226087e-01,5.477232282941667529e-01,4.832553583764275656e-02,5.477232282941667529e-01,2.007424205793394839e-02,5.477232282941667529e-01,3.821565594187140147e-01
6.066565112166760754e-01,-9.226267670006801369e-01,6.066565112166760754e-01,4.809398775467244036e-02,6.066565112166760754e-01,2.048213369074161974e-02,6.066565112166760754e-01,3.821351224071423691e-01
6.655897941391853978e-01,-9.226507455567598548e-01,6.655897941391853978e-01,4.761823688651026926e-02,6.655897941391853978e-01,2.133755017766813394e-02,6.655897941391853978e-01,3.820899040717637418e-01
7.245230770616947202e-01,-9.226852312247644239e-01,7.245230770616947202e-01,4.689929961217825100e-02,7.245230770616947202e-01,2.265915207937264225e-02,7.245230770616947202e-01,3.820193559165407371e-01
